id,text
1,ie phue hu peh pe pe 
2,m na si lan hian tai tai gi lang oh thak lian the lai kai e pian tsia a ma hue hue tsit tsiong iong ji huat siunn kue i uan sit tsai put kho tshu u 
3,hai kuan thong kue liau au tsiah khi hau ki sik sio tan si kan na u khah liong e tang khi se bian sue ke 
4,tsing lang thiann han tsing li an ne kong long kuann kin tann thau khuann suann ting tsit e khuann a tak ke e sim lai long am huah tsit siann gua khoo ah suann e tsiah e tshiu ping u iann kiam tsit puann khi ah 
5,ok a sang li ho li beh ai e mih kiann ti tsia 
6,iau m koh u lang ui tioh koh jin e li ik tang hong sia beh lai sio tshinn 
7,i na si tong suan ma e pi iau kiu si hian sing lok tui king tshat kai kik lai kong tse i king si tsit e sing li 
8,an ne bin a tsai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng 
9,tit jit pun sa khu lah khui e hit tang tsun kui phiann a ang ki ki kai sui 
10,bi kok kah ma u kiong tong li ik pi lu tsi tshi e bin ping 
11,ling gua king ki ing bun e gi liau khoo tsoh tshut lai e gi su tah phue kai su in tsi si tai bing su le kuan su o lo in ui pin lo tsin kuan tsia e gi su e gi su tah phue loh lat lo in oh ma long pai ti tsiann thau tsing 
12,lan tsit tsun khit lok kang ai nng tiam puann tsing 
13,tha si tian e kah thau 
14,mng kiann kuann a hoo ho oo 
15,siann mih thau loo e pi tsit lo khah ho 
16,hit tui ang a boo oh e si tsing phai e pu lu su thiau kah tsiann ho khuann 
17,ha gin a lang u thinn bo tshui m ho oo peh mng 
18,na mng kong tsue kin sua loh lai kam koh e u hong thai siong tsioh tsit si goo kang si bo khuann e lah kuan tsiong ping iu ing kai si bian huan lo 
19,thing loh lai e si sim lai kam u buan tsiok beh kam kak sing khu na kiann liau siunn kin 
20,kho ling bo huat too tsun si sit le 
21,tsit ma si guan tsu bin tsok gi tiam bang bi lai kheh ka e gi tai gi long u ki hue 
22,koh leh khi sing pe uah beh loo si 
23,kong ue kiat tsing king m thang hi hi tshio 
24,sin niu sin niu sui tang tang khoo te ho ho bo phuah khang sin long pue a phang kuan kuan kiann sun tai tai tiong tsiong guan 
25,a be a si beh khi tai pak ah si beh khi tai lam 
26,in to si bo ting tsiah e tak pai long e lau kau mih kiann 
27,thau tsing kong ui tioh pi sai leh sia he uan na si nua thau lan to m si to leh go ah si u iann hiah iau i hiah e tsiong kim 
28,in ui bo tshu li ham hoo sing e bun te soo i e ing hiong tioh si giam kiat ko e phin tsit 
29,suah loh lai beh lai siau kai hue ling ki e an tsuan siat ti to siau mng ti hue ling ki e nng ping sang soo am ti thau khak ting kiu sing i ti i a kha 
30,tiam tiam tit pinn a tso bo su jin 
31,li tsit e lau kau oo li kam bo hun 
32,iah gam tsioh iu huat tian kin te ui po 
33,he tian tong tshia tsau be tin tang in kai si bo tian a ai ka bat te lih theh tshut lai tshiong tian tsit e 
34,kau tann iau u tsiok tse siau lian lang e tua gi ta khi liok tsap boo gin a 
35,tsit uann a thoo tau thng khong kah mi mi i tsiann ho loh a 
36,u lang ti leh bo u lang ti leh bo ah 
37,tse to tso sing m na si kann gak siunn kheh hui iong siunn kuan kuan li siunn khun lai nia nia tsiah tse lang khi kuainn 
38,soo ni tshiu ki a kam u ho iong 
39,lai hang lang o lo u hing ui gua hang e e kong gua khiak khiak 
40,kau tann guan tsu bin e tang hang iong ka ti e bu gi i sia kong bun khah sit si tsuan hing tsing gi koh tsa e huah tsit tua poo 
41,hngh m tsiann niau 
42,lai e kai jip tsoo tsih ah si tse tshai e po hing 
43,gun ping iu liam mi to beh lai a tsiah ma huan li the gua io bi tsit kua mih kiann tshia lang tsiah 
44,si sit giam poo soo 
45,li si tui to ui i tit tioh tsit tsiah ang a e 
46,ho ho ho lah a biau oo kua lan to beh tsit su ho lah mai hau kua e 
47,khah kong ah e 
48,han tsing li tsim tsiok ka siau lian ke khuann khuann leh ka kong siau lian e li tsai iann bo gua e inn a tsiah sann liap bian tsinn neh 
49,siann mih lang kong li u tshin ba khuann i si m 
50,kiann 
51,oo too bai si tsiann ping siong e kau thong kang khu tsuan tai uan tshue bo lang be hiau khia oo too bai i e 
52,e phah tsiat long si ke e kin pun bo siok gua tse 
53,lang gua ko sann pit giap e ing gi tsuan giap thang nng ni 
54,tui put ti lai kong tse tai piau i kiong nge tui khong bi kok kah au tsiu tit tioh sing li 
55,siat ang e kau guan si to tsit e 
56,lai khui mng leh 
57,tui in tshu lai tshiong kik si siann khuan in tiong tuan e jin sing beh an tsuann 
58,it ting ai e lah 
59,ong thai thai lin sin pu sit tsai tsin gau tsu kah kui to phang kong kong 
60,tsit te phang lai te khu li m iau koh sio sio gin a lang un ai tsiah e 
61,tsu tsia e lang ka i be tsit te thoo tho hi i hiam siunn tse thuah to kuann khi hing hoo lang 
62,kah gua kio 
63,gua kah tinn lai to e sai ah 
64,gua hit tai tshia a tsue kin tsiah ka si liap thai ia tsuan poo uann kue 
65,sa siu siu hoo ho kin khi khun 
66,ling gua pun sit giam tshai iong kan hua e su lui kan tann hun tua lui tong su mia su hing iong su ting ting 
67,
68,tsui phang be khi li kho ling ai tau tsit tai phang phu lai phang 
69,tsit ma ma si kang khuan m lah 
70,mui tsit e lang long si tok li be e mui tsit e lang long u ka ti e sing uah king giam kah ti sik 
71,tsu hong be tang pai thik sin lo ah si khi in thau loo e lang kong tai gi 
72,lan tsap ni tsing ka jip kiap liu be be mih kiann khah bo khio sun leh 
73,bo jim ho e kuan he 
74,iau m koh tai uan tian iann si gua e senn mia bo lun an tsuann a gua ing uan long be hong khi 
75,gua e ka a kong tshua lai khi tshai tshi a 
76,e i tsinn kuai le tue lang tsau ah 
77,na tshuan khui e hiunn tong jian si he ku 
78,hiong tsing khong 
79,gua 
80,u i guan ah si u kho ling e ti li khong it liong ni tsham suan tsong thong e kiong ho tong jin su 
81,bo gua sit le 
